"Country","State","City","Population","Latitude","Longitude","Elevation"
"Hungary","HajduBihar","Puspokladany",16126,47.32,21.13,85.
"Hungary","Veszprem","Tapolca",16035,46.89,17.44,1.4e2
"Hungary","BorsodAbaujZemplen","Tiszaujvaros",15571,47.94,21.07,90.
"Hungary","Pest","Pecel",15358,47.49,19.35,1.8e2
"Hungary","Vas","Sarvar",15343,47.26,16.93,1.5e2
"Hungary","HajduBihar","Berettyoujfalu",14698,47.230000000000004,21.54,93.
"Hungary","Fejer","Mor",14690,47.37,18.22,2.e2
"Hungary","BacsKiskun","Kiskoros",14452,46.63,19.28,96.
"Hungary","Tolna","Bonyhad",14184,46.300000000000004,18.53,1.2e2
"Hungary","Pest","Budakeszi",14182,47.52,18.93,2.9e2
"Hungary","Pest","Pilisvorosvar",13971,47.62,18.91,1.8e2
"Hungary","HajduBihar","Ujfeherto",13542,47.800000000000004,21.68,1.2e2
"Hungary","Fejer","Sarbogard",13424,46.89,18.63,1.1e2
"Hungary","Pest","Nagykata",13322,47.410000000000004,19.740000000000002,1.1e2
"Hungary","Pest","Torokbalint",13207,47.43,18.92,2.e2
"Hungary","Veszprem","Balatonfured",13138,46.95,17.88,1.1e2
"Hungary","BorsodAbaujZemplen","Sajoszentpeter",13125,48.22,20.72,1.2e2
"Hungary","Bekes","Gyomaendrod",12999,46.94,20.830000000000002,82.
"Hungary","HajduBihar","Hajdusamson",12961,47.6,21.76,1.3e2
"Hungary","HajduBihar","Hajduhadhaz",12892,47.69,21.67,1.4e2
"Hungary","JaszNagykunSzolnok","Kisujszallas",12869,47.22,20.76,83.
"Hungary","Pest","Biatorbagy",12767,47.47,18.81,1.6e2
"Hungary","SzabolcsSzatmarBereg","Tiszavasvari",12683,47.97,21.36,92.
"Hungary","Vas","Kormend",12368,47.01,16.6,1.9e2
"Hungary","Pest","Albertirsa",12212,47.24,19.62,1.2e2
"Hungary","Pest","Kistarcsa",12212,47.58,19.18,1.4e2
"Hungary","Nograd","Batonyterenye",12117,47.97,19.830000000000002,2.2e2
"Hungary","Somogy","Barcs",12116,45.96,17.46,1.e2
"Hungary","Vas","Koszeg",12055,47.39,16.55,2.7e2
"Hungary","JaszNagykunSzolnok","Tiszafoldvar",12027,46.980000000000004,20.26,80.
"Hungary","Tolna","Tolna",12011,46.43,18.78,97.
"Hungary","BacsKiskun","Kiskunmajsa",11955,46.5,19.740000000000002,1.e2
"Hungary","Pest","Maglod",11896,47.45,19.37,2.e2
"Hungary","SzabolcsSzatmarBereg","Nyirbator",11891,47.84,22.14,1.5e2
"Hungary","BorsodAbaujZemplen","Sarospatak",11886,48.33,21.57,1.2e2
"Hungary","KomaromEsztergom","Dorog",11883,47.72,18.72,1.8e2
"Hungary","BacsKiskun","Tiszakecske",11844,46.94,20.09,84.
"Hungary","Pest","Ullo",11701,47.38,19.35,1.2e2
"Hungary","Pest","Pilis",11489,47.28,19.55,1.4e2
