"Country","State","City","Population","Latitude","Longitude","Elevation"
"Ukraine","Lugansk","Antratsyt",54640,48.120000000000005,39.09,2.6e2
"Ukraine","Harkov","Izyum",54593,49.21,37.26,69.
"Ukraine","Zaporizhzhya","Enerhodar",54490,47.5,34.47,14.
"Ukraine","Volyn","Novovolynsk",52624,50.730000000000004,24.17,2.3e2
"Ukraine","Poltava","Komsomolsk",51955,49.03,33.67,0
"Ukraine","Donetsk","Shakhtyorsk",51007,48.050000000000004,38.47,2.5e2
"Ukraine","Herson","Nova Kakhovka",50240,46.75,33.38,22.
"Ukraine","Odesa","Bilhorod‐Dnistrovskyy",50086,46.2,30.32,5.
"Ukraine","Donetsk","Dymytrov",49646,48.27,37.28,2.e2
"Ukraine","Sumska","Okhtyrka",49599,50.31,34.89,1.1e2
"Ukraine","Kyyivska","Fastiv",47937,50.08,29.92,2.1e2
"Ukraine","Dnipropetrovsk","Marhanets",47873,47.64,34.64,72.
"Ukraine","Lugansk","Rovenky",47852,48.08,39.37,2.6e2
"Ukraine","Lugansk","Bryanka",47512,48.51,38.660000000000004,2.3e2
"Ukraine","Dnipropetrovsk","Zhovti Vody",47509,48.34,33.51,1.4e2
"Ukraine","Donetsk","Snizhne",47259,48.02,38.77,2.7e2
"Ukraine","Kirovograd","Svitlovodsk",46613,49.08,33.25,77.
"Ukraine","Poltava","Lubny",45716,50.0186,32.9869,"null"
"Ukraine","Lugansk","Krasnodon",44283,48.300000000000004,39.74,1.4e2
"Ukraine","Khmelnytskyi","Shepetivka",43661,50.18,27.07,2.6e2
"Ukraine","Kyyivska","Irpin",42924,50.52,30.25,1.2e2
"Ukraine","Sumska","Romny",42856,50.75,33.47,1.5e2
"Ukraine","Rivne","Kuznetsovsk",42160,51.370000000000005,25.86,1.7e2
"Ukraine","Dnipropetrovsk","Ordzhonikidze",41374,47.69,34.02,22.
"Ukraine","Odesa","Kotovsk",40640,47.75,29.53,2.4e2
"Ukraine","Poltava","Myrhorod",40603,49.97,33.6,96.
"Ukraine","Mykolayivsk","Yuzhnoukrayinsk",40348,47.81,31.19,89.
"Ukraine","Volyn","Volodymyr‐Volynskyy",39074,50.85,24.330000000000002,1.9e2
"Ukraine","Crimea","Dzhankoy",38622,45.72,34.410000000000004,8.
"Ukraine","Lugansk","Pervomaysk",38435,48.64,38.52,1.8e2
"Ukraine","Rivne","Dubno",38073,50.42,25.75,2.e2
"Ukraine","Kyyivska","Vyshneve",38011,50.38,30.37,1.8e2
"Ukraine","Herson","Kakhovka",38001,46.81,33.480000000000004,27.
"Ukraine","Dnipropetrovsk","Inhulets",37536,47.730000000000004,33.25,37.
"Ukraine","Khmelnytskyi","Netishyn",37014,50.35,26.63,2.1e2
"Ukraine","Donetsk","Yasynuvata",36867,48.120000000000005,37.88,2.6e2
