"Country","State","City","Population","Latitude","Longitude","Elevation"
"Russia","Amur","Blagoveshchensk",212183,50.27,127.53,1.3e2
"Russia","AltaiKrai","Biysk",203108,52.53,85.17,1.8e2
"Russia","Saratov","Balakovo",199187,52.03,47.78,28.
"Russia","Pskov","Pskov",197047,57.83,28.330000000000002,45.
"Russia","Kemerovo","Prokopyevsk",196406,53.9,86.71000000000001,3.1e2
"Russia","Saratov","Engels",194824,51.5,46.12,16.
"Russia","Krasnodar","Armavir",190703,44.99,41.12,2.e2
"Russia","MoskovskayaOblast","Lyubertsy",190480,55.67,37.89,1.3e2
"Russia","Yaroslavl","Rybinsk",190429,58.050000000000004,38.83,1.e2
"Russia","Chelyabinsk","Zlatoust",190340,55.17,59.65,5.2e2
"Russia","Arkhangelsk","Severodvinsk",183996,64.57000000000001,39.83,8.
"Russia","MoskovskayaOblast","Balashikha",182772,55.800000000000004,37.95,1.5e2
"Russia","Sverdlovsk","KamenskUralskiy",182466,56.410000000000004,61.93,1.5e2
"Russia","Khakasia","Abakan",181709,53.72,91.43,2.5e2
"Russia","Kamchatka","PetropavlovskKamchatskiy",180454,53.02,158.65,30.
"Russia","MoskovskayaOblast","Khimki",180075,55.89,37.44,1.8e2
"Russia","MoskovskayaOblast","Podolsk",179525,55.42,37.54,1.6e2
"Russia","Rostov","Novocherkassk",179461,47.42,40.09,88.
"Russia","Sakhalin","YuzhnoSakhalinsk",173364,46.95,142.74,39.
"Russia","Samara","Syzran",173260,53.17,48.47,59.
"Russia","MoskovskayaOblast","Korolyov",172781,55.92,37.82,1.6e2
"Russia","Primorski","Nakhodka",171666,42.83,132.89000000000001,17.
"Russia","Rostov","Volgodonsk",170832,47.51,42.15,51.
"Russia","MoskovskayaOblast","Mytishchi",161811,55.910000000000004,37.730000000000004,1.5e2
"Russia","AltaiRepublic","Rubtsovsk",158584,51.53,81.2,2.2e2
"Russia","Adygeya","Maykop",156768,44.61,40.11,2.3e2
"Russia","Primorski","Ussuriysk",154755,43.800000000000004,132.01,21.
"Russia","Chelyabinsk","Miass",154519,55.,60.09,3.3e2
"Russia","Tatarstan","Almetyevsk",154262,54.9,52.31,1.4e2
"Russia","Bashkortostan","Salavat",153181,53.370000000000005,55.92,1.5e2
"Russia","MoskovskayaOblast","Kolomna",148020,55.08,38.78,1.4e2
"Russia","MoskovskayaOblast","Elektrostal",146189,55.79,38.44,1.6e2
"Russia","Stavropol","Pyatigorsk",145971,44.050000000000004,43.06,5.4e2
"Russia","Perm","Berezniki",145115,59.410000000000004,56.77,1.1e2
"Russia","SaintPetersburg","Kolpino",144901,59.75,30.6,17.
"Russia","Vladimir","Kovrov",138552,56.36,41.32,1.3e2
"Russia","Chelyabinsk","Kopeysk",137813,55.11,61.65,2.e2
"Russia","Ingushetia","Nazran",136991,43.21,44.800000000000004,5.3e2
"Russia","Sverdlovsk","Pervouralsk",132881,56.910000000000004,59.95,3.5e2
"Russia","MoskovskayaOblast","Odintsovo",131762,55.67,37.29,1.9e2
"Russia","Stavropol","Kislovodsk",129861,43.910000000000004,42.72,8.4e2
"Russia","Dagestan","Khasavyurt",128381,43.25,46.59,1.4e2
"Russia","Tula","Novomoskovsk",125647,54.09,38.22,2.1e2
"Russia","Chuvashia","Novocheboksarsk",125472,56.120000000000005,47.5,96.
"Russia","MoskovskayaOblast","Serpukhov",125010,54.92,37.410000000000004,1.5e2
"Russia","Rostov","Bataysk",124705,47.14,39.75,7.
"Russia","Dagestan","Derbent",123008,42.06,48.29,26.
"Russia","Vladimir","Murom",122123,55.57,42.04,1.2e2
"Russia","MoskovskayaOblast","OrekhovoZuevo",122117,55.82,38.980000000000004,1.2e2
"Russia","Bashkortostan","Neftekamsk",118740,56.08,54.27,89.
"Russia","Stavropol","Nevinnomyssk",117676,44.63,41.95,3.3e2
"Russia","Volgograd","Kamyshin",117297,50.1,45.4,13.
"Russia","KarachaiCherkessRepublic","Cherkessk",116947,44.29,42.06,4.9e2
"Russia","MoskovskayaOblast","Zheleznodorozhnyy",116456,55.75,38.0167,"null"
"Russia","MoskovskayaOblast","Noginsk",116277,55.85,38.44,1.5e2
"Russia","Ulyanovsk","Dimitrovgrad",116055,54.25,49.550000000000004,1.3e2
"Russia","Tyva","Kyzyl",116015,51.71,94.38,6.1e2
"Russia","Rostov","Novoshakhtinsk",115266,47.75,39.94,1.1e2
"Russia","Bashkortostan","Oktyabrskiy",113929,54.47,53.46,1.4e2
"Russia","Kaluga","Obninsk",113639,55.1,36.61,1.8e2
"Russia","Dagestan","Kaspiysk",113348,42.88,47.64,-16.
"Russia","KhantyMansi","Nefteyugansk",112975,61.08,72.7,33.
"Russia","MoskovskayaOblast","Shchyolkovo",112860,55.9,38.02,1.5e2
"Russia","MoskovskayaOblast","SergiyevPosad",112700,56.32,38.13,2.2e2
"Russia","YamaloNenets","NovyyUrengoy",112505,66.09,76.51,53.
"Russia","YamaloNenets","Noyabrsk",108450,63.17,75.62,1.3e2
"Russia","Kemerovo","LeninskKuznetskiy",107858,54.660000000000004,86.16,2.2e2
"Russia","Tomsk","Seversk",107552,56.61,84.83,88.
"Russia","Krasnoyarsk","Achinsk",105364,56.28,90.5,1.9e2
"Russia","Lipetsk","Yelets",105016,52.6,38.51,1.2e2
"Russia","NizhnyNovgorod","Arzamas",104785,55.38,43.82,1.2e2
"Russia","Orenburg","Novotroitsk",103927,51.21,58.32,2.1e2
"Russia","Samara","NovayaSamara",103908,53.11,49.93,89.
"Russia","Kalmykia","Elista",103034,46.32,44.21,1.2e2
"Russia","Primorski","Artyom",102603,43.36,132.18,53.
"Russia","Pskov","VelikieLuki",102357,56.34,30.53,99.
"Russia","MoskovskayaOblast","Zhukovskiy",101271,55.550000000000004,38.25,1.2e2
"Russia","Tyumen","Tobolsk",100583,58.2,68.27,95.
"Russia","Magadan","Magadan",100020,59.57,150.8,61.
"Russia","Udmurtia","Sarapul",99906,56.47,53.800000000000004,1.1e2
"Russia","Tatarstan","Zelenodolsk",99216,55.84,48.660000000000004,55.
"Russia","MoskovskayaOblast","Krasnogorsk",98822,55.83,37.33,1.7e2
"Russia","Udmurtia","Votkinsk",98063,57.04,53.99,81.
"Russia","Sverdlovsk","Serov",98044,59.61,60.58,1.3e2
"Russia","Kemerovo","Mezhdurechensk",97895,53.69,88.06,2.4e2
"Russia","Komi","Ukhta",97806,63.56,53.69,89.
"Russia","MoskovskayaOblast","Pushkino",96938,56.,37.83,1.5e2
"Russia","Kursk","Zheleznogorsk",96436,52.35,35.410000000000004,2.2e2
"Russia","Rostov","KamenskShakhtinskiy",95742,48.32,40.26,57.
"Russia","Saratov","Balashov",94986,51.550000000000004,43.17,1.5e2
"Russia","Perm","Solikamsk",94628,59.64,56.75,1.4e2
"Russia","Sverdlovsk","Novouralsk",94350,57.25,60.08,3.e2
"Russia","Tambov","Michurinsk",93690,52.9,40.5,1.5e2
"Russia","Udmurtia","Glazov",93628,58.14,52.660000000000004,1.5e2
"Russia","Novosibirsk","Berdsk",91857,54.76,83.08,1.3e2
