"Country","State","City","Population","Latitude","Longitude","Elevation"
"Bulgaria","Gabrovo","Trjavna",9831,42.87,25.5,4.4e2
"Bulgaria","Burgas","Nesebar",9576,42.67,27.72,0
"Bulgaria","Lovech","Lukovit",9546,43.22,24.16,1.6e2
"Bulgaria","Sofia","Kostenec",9478,42.31,23.87,5.e2
"Bulgaria","Silistra","Tutrakan",9476,44.06,26.62,31.
"Bulgaria","Burgas","Sredec",9134,42.35,27.19,41.
"Bulgaria","Targovishte","Omurtag",9114,43.11,26.43,4.8e2
"Bulgaria","Razgrad","Isperih",9006,43.72,26.830000000000002,2.7e2
"Bulgaria","Pleven","Belene",8905,43.65,25.14,24.
"Bulgaria","Plovdiv","Sopot, Plovdiv Province",8615,42.653911,24.755016,3.6e2
"Bulgaria","Shumen","Veliki Preslav",8843,43.160000000000004,26.82,1.3e2
"Bulgaria","Plovdiv","Kricim",8645,42.050000000000004,24.47,2.3e2
"Bulgaria","Pazardzhik","Rakitovo",8632,42.,24.1,7.9e2
"Bulgaria","Stara Zagora","Galabovo",8612,42.14,25.85,1.4e2
"Bulgaria","Blagoevgrad","Bansko",8562,41.84,23.5,9.2e2
"Bulgaria","Veliko Tarnovo","Ljaskovec",8557,43.11,25.73,1.7e2
"Bulgaria","Pazardzhik","Septemvri",8422,42.22,24.13,2.4e2
"Bulgaria","Varna","Devnja",8383,43.230000000000004,27.6,33.
"Bulgaria","Sofia","Svoge",8258,42.97,23.34,7.1e2
"Bulgaria","Varna","Aksakovo",8164,43.259166666667,27.8175,"null"
"Bulgaria","Varna","Beloslav",8071,43.18,27.71,66.
"Bulgaria","Gabrovo","Drjanovo",7968,42.980000000000004,25.48,2.6e2
"Bulgaria","Kardzhali","Momcilgrad",7831,41.54,25.42,4.4e2
"Bulgaria","Sofia","Pirdop",7767,42.71,24.19,6.9e2
"Bulgaria","Haskovo","Ljubimec",7670,41.85,26.09,65.
"Bulgaria","Razgrad","Kubrat",7624,43.800000000000004,26.51,2.3e2
"Bulgaria","Sofia","Elin Pelin",7430,42.67,23.6,5.5e2
"Bulgaria","Plovdiv","Kuklen",7331,42.035277777778,24.785277777778,"null"
"Bulgaria","Sofia","Slivnica",7186,42.86,23.05,5.9e2
"Bulgaria","Plovdiv","Hisarja",7162,42.51,24.71,3.6e2
"Bulgaria","Smolyan","Zlatograd",7110,41.39,25.11,4.7e2
"Bulgaria","Silistra","Dulovo",7076,43.83,27.14,2.2e2
"Bulgaria","Smolyan","Devin",7054,41.730000000000004,24.400000000000002,9.4e2
"Bulgaria","Plovdiv","Bankja",6960,42.550000000000004,24.84,2.9e2
"Bulgaria","Blagoevgrad","Simitli",6926,41.9,23.11,3.1e2
"Bulgaria","Dobrich","Tervel",6875,43.75,27.42,2.5e2
"Bulgaria","Haskovo","Simeonovgrad",6853,42.04,25.84,95.
"Bulgaria","Dobrich","General‐Tosevo",6835,43.71,28.04,2.3e2
"Bulgaria","Varna","Dolni Ciflik",6706,43.6,22.67,3.5e2
"Bulgaria","Montana","Varsec",6538,43.2,23.28,4.e2
"Bulgaria","Yambol","Straldza",6372,42.61,26.69,1.5e2
"Bulgaria","Razgrad","Car Kalojan",6314,43.61,26.25,2.1e2
"Bulgaria","Kyustendil","Bobovdol",5956,42.38,23.01,7.6e2
"Bulgaria","Burgas","Carevo",5884,42.12,27.93,0
"Bulgaria","Plovdiv","Saedinenie",5804,42.27,24.55,2.e2
"Bulgaria","Smolyan","Madan",5793,41.5,24.95,7.5e2
"Bulgaria","Burgas","Sozopol",5753,42.42,27.7,12.
"Bulgaria","Sliven","Tvardica",5681,42.71,25.86,5.3e2
"Bulgaria","Veliko Tarnovo","Elena",5596,42.94,25.89,3.3e2
"Bulgaria","Veliko Tarnovo","Strazhitsa",5589,43.233333333333,25.966666666667,"null"
"Bulgaria","Blagoevgrad","Jakoruda",5480,42.02,23.69,1.1e3
"Bulgaria","Sofia","Bozuriste",5425,42.75,23.17,6.1e2
"Bulgaria","Smolyan","Cepelare",5412,41.74,24.69,1.1e3
"Bulgaria","Vraca","Orjahovo",5400,43.74,23.97,56.
"Bulgaria","Vidin","Belogradcik",5334,43.65,22.68,5.e2
"Bulgaria","Sliven","Kotel",5329,42.9,26.45,5.8e2
"Bulgaria","Burgas","Kameno",5329,42.58,27.3,20.
"Bulgaria","Haskovo","Topolovgrad",5288,42.09,26.330000000000002,3.1e2
"Bulgaria","Plovdiv","Perustica",5129,42.06,24.55,3.1e2
"Bulgaria","Varna","Suvorovo",5090,43.34,27.6,2.e2
"Bulgaria","Kardzhali","Krumovgrad",5059,41.480000000000004,25.67,4.3e2
"Bulgaria","Sofia","Zlatica",4981,42.71,24.150000000000002,6.7e2
"Bulgaria","Sofia","Dolna Banja",4844,42.32,23.71,7.7e2
"Bulgaria","Varna","Dalgopol",4795,43.06,27.35,53.
"Bulgaria","Ruse","Vetovo",4795,43.71,26.27,1.8e2
"Bulgaria","Veliko Tarnovo","Polski Trambes",4766,43.37,25.63,53.
"Bulgaria","Pleven","Kojnare",4711,43.37,24.150000000000002,81.
"Bulgaria","Sofia","Godec",4663,43.03,23.05,7.8e2
"Bulgaria","Pleven","Trastenik",4541,43.52,24.48,1.e2
"Bulgaria","Pernik","Breznik",4489,42.75,22.92,7.8e2
"Bulgaria","Pazardzhik","Kostandovo",4456,42.016666666667,24.116666666667,"null"
"Bulgaria","Varna","Ignatievo",4426,43.25,27.766666666667,"null"
"Bulgaria","Pleven","Slavjanovo",4355,43.47,24.88,1.5e2
"Bulgaria","Sofia","Pravec",4305,42.9,23.92,4.2e2
"Bulgaria","Pazardzhik","Bracigovo",4263,42.02,24.37,4.8e2
"Bulgaria","Ruse","Glodzhevo",4249,43.733333333333,26.4,"null"
"Bulgaria","Ruse","Dve Mogili",4231,43.6,25.88,2.3e2
"Bulgaria","Pazardzhik","Strelca",4230,42.51,24.32,4.9e2
"Bulgaria","Smolyan","Nedelino",4224,41.46,25.09,5.3e2
"Bulgaria","Kardzhali","Ardino",4185,41.59,25.14,6.1e2
"Bulgaria","Kyustendil","Sapareva Banja",4128,42.2,23.3,9.8e2
"Bulgaria","Shumen","Smjadovo",4024,43.07,27.02,1.e2
"Bulgaria","Pazardzhik","Belovo",3966,42.2,24.02,4.7e2
"Bulgaria","Veliko Tarnovo","Debelec",3883,43.04,25.63,1.7e2
"Bulgaria","Pleven","Nikopol",3878,43.7,24.900000000000002,1.1e2
"Bulgaria","Sliven","Sivacevo",3836,42.69,26.03,3.e2
"Bulgaria","Montana","Valcedram",3817,43.69,23.45,74.
"Bulgaria","Sofia","Dragoman",3814,42.93,22.93,7.4e2
"Bulgaria","Haskovo","Ivajlovgrad",3756,41.53,26.12,2.4e2
"Bulgaria","Varna","Valci Dol",3728,43.410000000000004,27.55,2.6e2
"Bulgaria","Vraca","Mizija",3712,43.69,23.86,87.
"Bulgaria","Pazardzhik","Sarnitsa",3688,41.737541,24.024334,"null"
"Bulgaria","Ruse","Marten",3672,43.920833333333,26.081944444444,"null"
"Bulgaria","Shumen","Varbica",3616,43.,26.62,2.8e2
"Bulgaria","Blagoevgrad","Kresna",3614,41.78,23.18,6.2e2
"Bulgaria","Dobrich","Sabla",3586,43.550000000000004,28.54,27.
"Bulgaria","Smolyan","Rudozem",3583,41.5,24.86,7.7e2
"Bulgaria","Pleven","Iskar",7717,43.45,24.266666666667,2.9e2
"Bulgaria","Stara Zagora","Kran",3501,42.666666666667,25.383333333333,"null"
